epoch,accuracy
1,0.46500046427368813
2,0.6270630319252648
3,0.7001617724633278
4,0.7519261531360314
5,0.7950585338923023
6,0.824344916721744
7,0.8563899284281085
8,0.8868231721546339
9,0.9059751930901462
10,0.9237947992199217
